,max_population,mutation_rate,ngen,avg_fitness,success_rate,avg_evaluations_to_solve,avg_execution_time,avg_memory_usage
12,100,0.05,250,27.15,0.35,103.82857142857142,23.34317735671997,29.274609375
15,100,0.5,250,26.33,0.39,77.46153846153847,21.289516537189485,27.371484375
14,100,0.2,250,27.16,0.63,78.39682539682539,16.697565829753877,26.440078125
13,100,0.1,250,27.46,0.64,64.859375,15.50713321685791,24.5940625
11,50,0.5,250,25.54,0.18,125.88888888888889,6.771261510848999,10.50265625
8,50,0.05,250,26.25,0.15,81.66666666666667,6.703306567668915,10.5425
10,50,0.2,250,26.21,0.29,123.06896551724138,6.34004224061966,10.52828125
9,50,0.1,250,26.68,0.32,134.125,6.322171030044555,10.534375
7,25,0.5,250,24.61,0.05,139.6,1.8230791258811951,4.70328125
4,25,0.05,250,25.29,0.09,124.22222222222223,1.775672447681427,4.73515625
6,25,0.2,250,25.5,0.14,143.28571428571428,1.7756377482414245,4.72609375
5,25,0.1,250,25.78,0.2,112.1,1.6726822090148925,4.73140625
0,10,0.05,250,23.55,0.02,137.5,0.32503711462020873,2.076484375
1,10,0.1,250,23.8,0.0,250.0,0.3186686682701111,2.05984375
3,10,0.5,250,23.79,0.03,101.66666666666667,0.317548303604126,2.05421875
2,10,0.2,250,24.04,0.02,156.0,0.3169363737106323,2.05609375
